TicketID,CreationDate,ResolutionDate,AffectedVersions
"OPENJPA-2942","2025-07-15T04:43:30.000+0000","2025-07-18T05:05:59.000+0000","4.1.1"
"OPENJPA-2939","2025-06-28T14:09:03.000+0000","2025-07-04T12:10:17.000+0000","4.1.1"
"OPENJPA-2938","2025-06-18T10:02:32.000+0000","2025-07-04T05:30:02.000+0000","4.1.1"
"OPENJPA-2937","2025-06-18T03:47:04.000+0000","2025-07-09T06:51:45.000+0000","4.1.1"
"OPENJPA-2936","2025-04-09T13:31:31.000+0000","2025-05-01T06:44:32.000+0000","4.0.1;4.1.0"
"OPENJPA-2933","2025-01-17T18:52:23.000+0000","2025-02-18T07:18:14.000+0000","4.0.1"
"OPENJPA-2932","2025-01-15T14:27:10.000+0000","2025-02-02T14:37:48.000+0000","4.0.1"
"OPENJPA-2930","2024-12-22T12:22:25.000+0000","2025-02-22T04:03:15.000+0000","4.0.1"
"OPENJPA-2928","2024-09-27T14:54:37.000+0000","2024-09-30T15:33:57.000+0000","4.0.1"
"OPENJPA-2925","2024-08-27T15:31:43.000+0000","2025-04-23T07:27:42.000+0000","3.2.2;4.0.0"
"OPENJPA-2923","2024-07-11T03:54:34.000+0000","2024-07-15T05:48:01.000+0000","4.0.0"
"OPENJPA-2921","2024-05-27T16:53:44.000+0000","2024-05-27T16:54:37.000+0000","4.0.0"
"OPENJPA-2918","2023-12-01T14:29:27.000+0000","2023-12-02T07:28:32.000+0000",""
"OPENJPA-2915","2023-09-18T19:59:10.000+0000","2023-10-11T14:10:23.000+0000","3.2.2"
"OPENJPA-2907","2023-04-20T07:33:18.000+0000","2023-04-20T08:02:24.000+0000","3.2.2"
"OPENJPA-2898","2022-02-09T09:40:41.000+0000","2025-03-14T09:38:42.000+0000","3.2.1;3.2.2"
"OPENJPA-2896","2021-12-17T10:35:38.000+0000","2021-12-23T15:53:07.000+0000",""
"OPENJPA-2891","2021-11-30T09:29:45.000+0000","2021-12-01T07:15:48.000+0000","3.2.0"
"OPENJPA-2889","2021-11-22T15:06:21.000+0000","2021-12-05T17:58:53.000+0000","3.2.0"
"OPENJPA-2883","2021-10-21T13:46:08.000+0000","2021-10-22T17:20:31.000+0000","3.2.0"
"OPENJPA-2882","2021-10-12T22:04:20.000+0000","2021-10-21T06:10:15.000+0000","2.2.3"
"OPENJPA-2877","2021-07-12T13:50:32.000+0000","2021-10-27T11:33:38.000+0000",""
"OPENJPA-2876","2021-06-10T18:54:23.000+0000","2021-06-16T11:02:05.000+0000","3.0.0"
"OPENJPA-2871","2021-05-08T11:56:14.000+0000","2021-05-08T12:03:53.000+0000","3.2.0"
"OPENJPA-2866","2021-04-10T10:25:45.000+0000","2021-04-18T09:24:19.000+0000","3.1.2"
"OPENJPA-2865","2021-04-09T12:26:11.000+0000","2021-04-18T16:37:44.000+0000","3.1.2"
"OPENJPA-2864","2021-04-08T12:53:45.000+0000","2021-04-08T12:58:19.000+0000","3.1.2"
"OPENJPA-2863","2021-04-08T09:41:12.000+0000","2021-04-08T12:58:01.000+0000","3.1.2"
