Project,ClassPath,ReleaseID,ReleaseName,ReleaseIndex,Bugginess
"OPENJPA","openjpa-jdbc-5/src/main/java/org/apache/openjpa/jdbc/kernel/JDBC3SavepointManager.java","12312343","0.9.0",1,"no"
"OPENJPA","openjpa-jdbc-5/src/main/java/org/apache/openjpa/jdbc/meta/strats/EnumValueHandler.java","12312343","0.9.0",1,"no"
"OPENJPA","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/ant/MappingToolTask.java","12312343","0.9.0",1,"no"
"OPENJPA","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/ant/ReverseMappingToolTask.java","12312343","0.9.0",1,"no"
"OPENJPA","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/ant/SchemaToolTask.java","12312343","0.9.0",1,"no"
"OPENJPA","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/FetchModeValue.java","12312343","0.9.0",1,"no"
"OPENJPA","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/JDBCConfiguration.java","12312343","0.9.0",1,"no"
"OPENJPA","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/JDBCConfigurationImpl.java","12312343","0.9.0",1,"no"
"OPENJPA","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/JDBCProductDerivation.java","12312343","0.9.0",1,"no"
"OPENJPA","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/JDBCSeqValue.java","12312343","0.9.0",1,"no"
"OPENJPA","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/MappingFactoryValue.java","12312343","0.9.0",1,"no"
"OPENJPA","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/MappingRepositoryValue.java","12312343","0.9.0",1,"no"
"OPENJPA","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/AbstractJDBCSavepointManager.java","12312343","0.9.0",1,"no"
"OPENJPA","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/AbstractJDBCSeq.java","12312343","0.9.0",1,"no"
"OPENJPA","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/AbstractUpdateManager.java","12312343","0.9.0",1,"no"
"OPENJPA","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/ClassTableJDBCSeq.java","12312343","0.9.0",1,"no"
"OPENJPA","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/ConnectionInfo.java","12312343","0.9.0",1,"no"
"OPENJPA","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/DelegatingJDBCFetchConfiguration.java","12312343","0.9.0",1,"yes"
"OPENJPA","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/EagerFetchModes.java","12312343","0.9.0",1,"no"
"OPENJPA","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/GenericResultObjectProvider.java","12312343","0.9.0",1,"no"
"OPENJPA","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/InstanceResultObjectProvider.java","12312343","0.9.0",1,"no"
"OPENJPA","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCBrokerFactory.java","12312343","0.9.0",1,"no"
"OPENJPA","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCFetchConfiguration.java","12312343","0.9.0",1,"yes"
"OPENJPA","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCFetchConfigurationImpl.java","12312343","0.9.0",1,"yes"
"OPENJPA","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCLockManager.java","12312343","0.9.0",1,"no"
"OPENJPA","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCSeq.java","12312343","0.9.0",1,"no"
"OPENJPA","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCStore.java","12312343","0.9.0",1,"no"
"OPENJPA","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCStoreManager.java","12312343","0.9.0",1,"yes"
"OPENJPA","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCStoreQuery.java","12312343","0.9.0",1,"yes"
"OPENJPA","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/LRSSizes.java","12312343","0.9.0",1,"no"
"OPENJPA","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/MappedQueryResultObjectProvider.java","12312343","0.9.0",1,"no"
"OPENJPA","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/NativeJDBCSeq.java","12312343","0.9.0",1,"no"
"OPENJPA","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/OperationOrderUpdateManager.java","12312343","0.9.0",1,"no"
"OPENJPA","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/PagingResultObjectProvider.java","12312343","0.9.0",1,"yes"
"OPENJPA","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/PessimisticLockManager.java","12312343","0.9.0",1,"yes"
"OPENJPA","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/PreparedStatementManager.java","12312343","0.9.0",1,"no"
"OPENJPA","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/PreparedStatementManagerImpl.java","12312343","0.9.0",1,"no"
"OPENJPA","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/ProjectionResultObjectProvider.java","12312343","0.9.0",1,"no"
"OPENJPA","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/SQLProjectionResultObjectProvider.java","12312343","0.9.0",1,"no"
"OPENJPA","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/SQLStoreQuery.java","12312343","0.9.0",1,"no"
"OPENJPA","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/SelectResultObjectProvider.java","12312343","0.9.0",1,"no"
"OPENJPA","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/TableJDBCSeq.java","12312343","0.9.0",1,"yes"
"OPENJPA","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/UpdateManager.java","12312343","0.9.0",1,"no"
"OPENJPA","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/ValueTableJDBCSeq.java","12312343","0.9.0",1,"no"
"OPENJPA","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Abs.java","12312343","0.9.0",1,"no"
"OPENJPA","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/AbstractVal.java","12312343","0.9.0",1,"no"
"OPENJPA","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Aggregate.java","12312343","0.9.0",1,"no"
"OPENJPA","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/All.java","12312343","0.9.0",1,"no"
"OPENJPA","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/AndExpression.java","12312343","0.9.0",1,"no"
"OPENJPA","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Any.java","12312343","0.9.0",1,"no"
"OPENJPA","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Args.java","12312343","0.9.0",1,"no"
"OPENJPA","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Avg.java","12312343","0.9.0",1,"no"
"OPENJPA","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/BindVariableAndExpression.java","12312343","0.9.0",1,"no"
"OPENJPA","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/BindVariableExpression.java","12312343","0.9.0",1,"no"
"OPENJPA","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/CompareEqualExpression.java","12312343","0.9.0",1,"no"
"OPENJPA","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/CompareExpression.java","12312343","0.9.0",1,"no"
"OPENJPA","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Concat.java","12312343","0.9.0",1,"no"
"OPENJPA","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Const.java","12312343","0.9.0",1,"no"
"OPENJPA","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/ConstGetObjectId.java","12312343","0.9.0",1,"no"
"OPENJPA","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/ConstInstanceofExpression.java","12312343","0.9.0",1,"no"
"OPENJPA","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/ConstPath.java","12312343","0.9.0",1,"no"
"OPENJPA","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/ContainsExpression.java","12312343","0.9.0",1,"no"
"OPENJPA","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/ContainsKeyExpression.java","12312343","0.9.0",1,"no"
"OPENJPA","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Count.java","12312343","0.9.0",1,"no"
"OPENJPA","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/CurrentDate.java","12312343","0.9.0",1,"no"
"OPENJPA","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Distinct.java","12312343","0.9.0",1,"no"
"OPENJPA","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/EmptyExpression.java","12312343","0.9.0",1,"no"
"OPENJPA","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/EndsWithExpression.java","12312343","0.9.0",1,"no"
"OPENJPA","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/EqualExpression.java","12312343","0.9.0",1,"no"
"OPENJPA","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Exp.java","12312343","0.9.0",1,"no"
"OPENJPA","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Extension.java","12312343","0.9.0",1,"no"
"OPENJPA","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/FilterValue.java","12312343","0.9.0",1,"no"
"OPENJPA","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/FilterValueImpl.java","12312343","0.9.0",1,"no"
"OPENJPA","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/GetColumn.java","12312343","0.9.0",1,"no"
"OPENJPA","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/GetMapValue.java","12312343","0.9.0",1,"no"
"OPENJPA","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/GetObjectId.java","12312343","0.9.0",1,"no"
"OPENJPA","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/HasContainsExpressionVisitor.java","12312343","0.9.0",1,"no"
"OPENJPA","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/InExpression.java","12312343","0.9.0",1,"yes"
"OPENJPA","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/InKeyExpression.java","12312343","0.9.0",1,"no"
"OPENJPA","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/InSubQExpression.java","12312343","0.9.0",1,"no"
"OPENJPA","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/InValueExpression.java","12312343","0.9.0",1,"no"
"OPENJPA","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/IndexOf.java","12312343","0.9.0",1,"no"
"OPENJPA","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/InstanceofExpression.java","12312343","0.9.0",1,"no"
"OPENJPA","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/IsEmptyExpression.java","12312343","0.9.0",1,"no"
"OPENJPA","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/IsNotEmptyExpression.java","12312343","0.9.0",1,"no"
"OPENJPA","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/JDBCAggregateListener.java","12312343","0.9.0",1,"no"
"OPENJPA","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/JDBCExpressionFactory.java","12312343","0.9.0",1,"no"
"OPENJPA","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/JDBCFilterListener.java","12312343","0.9.0",1,"no"
