Rank,Project,ReleaseId,ClassPath,NSmells,LOC,BranchingKeywords,Methods,PublicMethods,IsInterface,IsEnum,IsAnnotation,IsAbstract,DiscardReasons
1,OPENJPA,999,openjpa-examples/openbooks/src/main/java/openbook/tools/parser/JavaParser.java,2178,15162,2389,274,273,false,false,false,false,TOO_LARGE_LOC>2500;TOO_MANY_METHODS>90;TOO_MANY_PUBLIC_METHODS>40;LIKELY_SIMPLE_ROLE
2,OPENJPA,999,openjpa-examples/openbooks/src/main/java/openbook/tools/parser/JavaLexer.java,517,3428,249,119,119,false,false,false,false,TOO_LARGE_LOC>2500;TOO_MANY_METHODS>90;TOO_MANY_PUBLIC_METHODS>40;LIKELY_SIMPLE_ROLE
3,OPENJPA,999,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/BrokerImpl.java,428,4162,582,310,228,false,false,false,false,TOO_LARGE_LOC>2500;TOO_MANY_METHODS>90;TOO_MANY_PUBLIC_METHODS>40
4,OPENJPA,999,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/DBDictionary.java,413,3959,648,345,256,false,false,false,false,TOO_LARGE_LOC>2500;TOO_MANY_METHODS>90;TOO_MANY_PUBLIC_METHODS>40;LIKELY_SIMPLE_ROLE
5,OPENJPA,999,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/SelectImpl.java,351,2703,395,315,255,false,false,false,false,TOO_LARGE_LOC>2500;TOO_MANY_METHODS>90;TOO_MANY_PUBLIC_METHODS>40
6,OPENJPA,999,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/StateManagerImpl.java,302,2646,426,238,153,false,false,false,false,TOO_LARGE_LOC>2500;TOO_MANY_METHODS>90;TOO_MANY_PUBLIC_METHODS>40
7,OPENJPA,999,openjpa-kernel/src/main/java/org/apache/openjpa/meta/FieldMetaData.java,240,1702,268,185,166,false,false,false,false,TOO_MANY_METHODS>90;TOO_MANY_PUBLIC_METHODS>40
8,OPENJPA,999,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/AnnotationPersistenceMetaDataParser.java,238,1709,392,97,30,false,false,false,false,TOO_MANY_METHODS>90;LIKELY_SIMPLE_ROLE
9,OPENJPA,999,openjpa-kernel/src/main/java/org/apache/openjpa/meta/ClassMetaData.java,234,1864,361,170,137,false,false,false,false,TOO_MANY_METHODS>90;TOO_MANY_PUBLIC_METHODS>40
10,OPENJPA,999,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/XMLPersistenceMetaDataParser.java,227,2274,376,167,20,false,false,false,false,TOO_MANY_METHODS>90;LIKELY_SIMPLE_ROLE
11,OPENJPA,999,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,208,1870,373,130,24,false,false,false,false,TOO_MANY_METHODS>90;LIKELY_GUI_CLASS
12,OPENJPA,999,openjpa-kernel/src/main/java/org/apache/openjpa/meta/MetaDataRepository.java,187,1622,282,146,82,false,false,false,false,TOO_MANY_METHODS>90;TOO_MANY_PUBLIC_METHODS>40
13,OPENJPA,999,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/AnnotationPersistenceMetaDataSerializer.java,186,1102,236,100,43,false,false,false,false,TOO_MANY_METHODS>90;TOO_MANY_PUBLIC_METHODS>40
14,OPENJPA,999,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/ReverseMappingTool.java,181,1497,221,122,86,false,false,false,false,TOO_MANY_METHODS>90;TOO_MANY_PUBLIC_METHODS>40
15,OPENJPA,999,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/XMLPersistenceMetaDataSerializer.java,179,1102,241,90,39,false,false,false,false,LIKELY_SIMPLE_ROLE
16,OPENJPA,999,openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/AnnotationPersistenceMappingParser.java,175,1858,363,88,7,false,false,false,false,LIKELY_SIMPLE_ROLE
17,OPENJPA,999,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/MappingInfo.java,174,1278,267,63,39,false,false,false,true,ABSTRACT_CLASS;LIKELY_SIMPLE_ROLE
18,OPENJPA,999,openjpa-lib/src/main/java/org/apache/openjpa/lib/jdbc/LoggingConnectionDecorator.java,165,2054,122,217,154,false,false,false,false,TOO_MANY_METHODS>90;TOO_MANY_PUBLIC_METHODS>40;LIKELY_SIMPLE_ROLE
19,OPENJPA,999,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/QueryImpl.java,161,1846,230,181,151,false,false,false,false,TOO_MANY_METHODS>90;TOO_MANY_PUBLIC_METHODS>40;LIKELY_SIMPLE_ROLE
20,OPENJPA,999,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/OracleDictionary.java,150,1229,165,71,50,false,false,false,false,TOO_MANY_PUBLIC_METHODS>40;LIKELY_SIMPLE_ROLE
21,OPENJPA,999,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/SchemaTool.java,147,1136,203,74,49,false,false,false,false,TOO_MANY_PUBLIC_METHODS>40
22,OPENJPA,999,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCStoreManager.java,127,1484,179,124,78,false,false,false,false,TOO_MANY_METHODS>90;TOO_MANY_PUBLIC_METHODS>40
23,OPENJPA,999,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/PCPath.java,121,947,165,69,56,false,false,false,false,TOO_MANY_PUBLIC_METHODS>40
24,OPENJPA,999,openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/XMLPersistenceMappingParser.java,119,1477,235,87,1,false,false,false,false,FEW_PUBLIC_METHODS<5;LIKELY_SIMPLE_ROLE
25,OPENJPA,999,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCStoreQuery.java,104,906,161,52,12,false,false,false,false,LIKELY_SIMPLE_ROLE
26,OPENJPA,999,openjpa-kernel/src/main/java/org/apache/openjpa/enhance/ApplicationIdTool.java,101,1038,136,49,24,false,false,false,false,LIKELY_SIMPLE_ROLE
27,OPENJPA,999,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/FetchConfigurationImpl.java,101,907,121,94,67,false,false,false,false,TOO_MANY_METHODS>90;TOO_MANY_PUBLIC_METHODS>40
28,OPENJPA,999,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/ForeignKey.java,99,658,155,68,62,false,false,false,false,TOO_MANY_PUBLIC_METHODS>40
29,OPENJPA,999,openjpa-kernel/src/main/java/org/apache/openjpa/meta/AbstractCFMetaDataFactory.java,97,820,167,47,23,false,false,false,true,ABSTRACT_CLASS;LIKELY_SIMPLE_ROLE
30,OPENJPA,999,openjpa-lib/src/main/java/org/apache/openjpa/lib/conf/ConfigurationImpl.java,90,773,104,68,58,false,false,false,false,TOO_MANY_PUBLIC_METHODS>40
31,OPENJPA,999,openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/XMLPersistenceMappingSerializer.java,87,613,124,33,8,false,false,false,false,LIKELY_SIMPLE_ROLE
32,OPENJPA,999,openjpa-kernel/src/main/java/org/apache/openjpa/enhance/Reflection.java,83,624,90,67,55,false,false,false,false,TOO_MANY_PUBLIC_METHODS>40
33,OPENJPA,999,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/concurrent/ConcurrentReferenceHashMap.java,82,745,103,91,77,false,false,false,false,TOO_MANY_METHODS>90;TOO_MANY_PUBLIC_METHODS>40
34,OPENJPA,999,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/MappingTool.java,82,747,98,56,43,false,false,false,false,TOO_MANY_PUBLIC_METHODS>40
35,OPENJPA,999,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/FieldMapping.java,79,1022,116,144,136,false,false,false,false,TOO_MANY_METHODS>90;TOO_MANY_PUBLIC_METHODS>40
36,OPENJPA,999,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/RowImpl.java,79,800,86,106,88,false,false,false,false,TOO_MANY_METHODS>90;TOO_MANY_PUBLIC_METHODS>40
37,OPENJPA,999,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/SchemaGenerator.java,78,715,123,45,39,false,false,false,false,GENERATED_CODE
38,OPENJPA,999,openjpa-kernel/src/main/java/org/apache/openjpa/enhance/PCEnhancer.java,78,3958,491,138,35,false,false,false,false,TOO_LARGE_LOC>2500;TOO_MANY_METHODS>90
