Rank,Project,ReleaseId,ClassPath,NSmells,LOC,BranchingKeywords,Methods,PublicMethods,IsInterface,IsEnum,IsAnnotation,IsAbstract,DiscardReasons
1,OPENJPA,999,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/MappingRepository.java,162,1203,265,84,31,false,false,false,false,
2,OPENJPA,999,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/Filters.java,149,877,243,37,28,false,false,false,false,
3,OPENJPA,999,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/RelationFieldStrategy.java,114,894,154,45,31,false,false,false,false,
4,OPENJPA,999,openjpa-kernel/src/main/java/org/apache/openjpa/util/ProxyManagerImpl.java,106,1511,174,72,21,false,false,false,false,
5,OPENJPA,999,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/SingleFieldManager.java,82,688,182,37,11,false,false,false,false,
6,OPENJPA,999,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/DetachManager.java,80,640,127,37,18,false,false,false,false,
7,OPENJPA,999,openjpa-lib/src/main/java/org/apache/openjpa/lib/conf/Configurations.java,78,517,95,33,24,false,false,false,false,
8,OPENJPA,999,openjpa-kernel/src/main/java/org/apache/openjpa/event/LifecycleEventManager.java,78,482,125,28,22,false,false,false,false,
9,OPENJPA,999,openjpa-kernel/src/main/java/org/apache/openjpa/meta/JavaTypes.java,78,386,117,16,13,false,false,false,false,
10,OPENJPA,999,openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/AnnotationPersistenceMappingSerializer.java,75,650,131,35,8,false,false,false,false,
11,OPENJPA,999,openjpa-kernel/src/main/java/org/apache/openjpa/util/ApplicationIds.java,69,561,141,38,33,false,false,false,false,
12,OPENJPA,999,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/SQLBuffer.java,66,468,88,41,37,false,false,false,false,
13,OPENJPA,999,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/PersistenceMetaDataDefaults.java,61,711,117,56,29,false,false,false,false,
14,OPENJPA,999,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/FormatPreservingProperties.java,60,434,63,41,33,false,false,false,false,
15,OPENJPA,999,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/Options.java,59,355,78,26,19,false,false,false,false,
16,OPENJPA,999,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/TableJDBCSeq.java,56,624,62,51,34,false,false,false,false,
17,OPENJPA,999,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/PersistenceMetaDataFactory.java,53,473,69,46,24,false,false,false,false,
18,OPENJPA,999,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/PersistenceProductDerivation.java,51,764,94,46,25,false,false,false,false,
19,OPENJPA,999,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/JoinSet.java,49,302,56,31,27,false,false,false,false,
20,OPENJPA,999,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/PagingResultObjectProvider.java,45,309,57,16,8,false,false,false,false,
21,OPENJPA,999,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCFetchConfigurationImpl.java,43,384,48,36,33,false,false,false,false,
22,OPENJPA,999,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/PrimaryRow.java,42,352,67,35,24,false,false,false,false,
23,OPENJPA,999,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/TableSchemaFactory.java,41,352,28,23,21,false,false,false,false,
24,OPENJPA,999,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/SchemaGroup.java,40,371,59,49,31,false,false,false,false,
25,OPENJPA,999,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/HandlerFieldStrategy.java,40,367,60,28,28,false,false,false,false,
26,OPENJPA,999,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/PrimitiveFieldStrategy.java,40,349,63,26,25,false,false,false,false,
27,OPENJPA,999,openjpa-slice/src/main/java/org/apache/openjpa/slice/jdbc/DistributedJDBCStoreManager.java,39,456,59,48,32,false,false,false,false,
28,OPENJPA,999,openjpa-lib/src/main/java/org/apache/openjpa/lib/conf/ProductDerivations.java,39,342,56,20,15,false,false,false,false,
29,OPENJPA,999,openjpa-kernel/src/main/java/org/apache/openjpa/datacache/DataCacheStoreManager.java,36,614,117,24,13,false,false,false,false,
30,OPENJPA,999,openjpa-kernel/src/main/java/org/apache/openjpa/datacache/DelegatingDataCache.java,36,345,36,37,36,false,false,false,false,
31,OPENJPA,999,openjpa-slice/src/main/java/org/apache/openjpa/slice/jdbc/DistributedJDBCConfigurationImpl.java,34,516,59,48,31,false,false,false,false,
32,OPENJPA,999,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/LRSProxyMap.java,34,365,49,22,13,false,false,false,false,
33,OPENJPA,999,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/RelationRelationMapTableFieldStrategy.java,31,486,65,24,20,false,false,false,false,
34,OPENJPA,999,openjpa-kernel/src/main/java/org/apache/openjpa/enhance/ReflectingPersistenceCapable.java,31,331,52,37,32,false,false,false,false,
35,OPENJPA,999,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/meta/SourceAnnotationHandler.java,24,504,56,52,34,false,false,false,false,
36,OPENJPA,999,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/HandlerRelationMapTableFieldStrategy.java,22,408,49,23,20,false,false,false,false,
37,OPENJPA,999,openjpa-kernel/src/main/java/org/apache/openjpa/event/TCPRemoteCommitProvider.java,19,640,58,49,33,false,false,false,false,
38,OPENJPA,999,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/identifier/DBIdentifierUtilImpl.java,16,372,63,28,24,false,false,false,false,
