SIZE_LOC,NOM,AVG_METHOD_SIZE,CYCLO_COMPLEXITY,FAN_OUT,NR,FIX_RATE,NAUTH,LOC_ADDED,MAX_LOC_ADDED,CHURN,MAX_CHURN,MAX_CHANGE_SET_SIZE,AVG_MODIFIED_DIRS,CLASS_AGE,AGE_SINCE_LAST_CHANGE,OWNERSHIP_RATIO,CROSS_DIRECTORY_CHANGE_RATIO,NSMELLS,SMELL_DENSITY,Bugginess
50,0,0.000000,0,2,3,0.000000,1,50,49,50,49,1028,46.333333,37,29,1.000000,1.000000,0,0.000000,no
58,0,0.000000,0,7,2,0.000000,1,58,58,58,58,1028,68.500000,37,37,1.000000,1.000000,0,0.000000,no
32,0,0.000000,0,3,9,0.000000,1,135,35,238,64,1028,41.222222,103,37,1.000000,1.000000,0,0.000000,no
75,8,9.375000,8,5,5,0.000000,2,86,61,97,61,1028,32.200000,37,4,0.600000,1.000000,0,0.000000,no
34,1,34.000000,1,0,9,0.000000,1,113,30,192,49,1028,41.222222,103,37,1.000000,1.000000,0,0.000000,no
34,1,34.000000,1,0,9,0.000000,1,113,30,192,49,1028,41.222222,103,37,1.000000,1.000000,0,0.000000,no
41,2,20.500000,2,0,10,0.000000,2,137,35,233,67,1028,37.700000,103,4,0.900000,1.000000,0,0.000000,no
44,1,44.000000,2,2,9,0.000000,1,213,55,382,87,1028,41.222222,103,37,1.000000,1.000000,0,0.000000,no
79,5,15.800000,5,7,4,0.000000,2,94,79,109,79,1028,38.750000,37,6,0.500000,1.000000,0,0.000000,no
44,1,44.000000,2,2,9,0.000000,1,213,55,382,87,1028,41.222222,103,37,1.000000,1.000000,0,0.000000,no
71,5,14.200000,5,7,4,0.000000,2,84,72,97,72,1028,38.750000,37,6,0.500000,1.000000,0,0.000000,no
71,5,14.200000,5,7,4,0.000000,2,83,72,95,72,1028,38.750000,37,6,0.500000,1.000000,0,0.000000,no
41,2,20.500000,2,0,10,0.000000,2,131,36,221,68,1028,37.700000,103,4,0.900000,1.000000,0,0.000000,no
41,2,20.500000,2,0,10,0.000000,2,131,36,221,68,1028,37.700000,103,4,0.900000,1.000000,0,0.000000,no
72,5,14.400000,5,7,4,0.000000,2,83,73,94,73,1028,38.750000,37,6,0.500000,1.000000,0,0.000000,no
38,1,38.000000,1,0,8,0.000000,1,92,45,146,45,1028,42.875000,103,37,1.000000,1.000000,0,0.000000,no
36,1,36.000000,1,0,10,0.000000,1,127,31,218,59,1028,37.200000,103,37,1.000000,1.000000,0,0.000000,no
57,4,14.250000,4,5,4,0.000000,2,63,58,69,58,1028,38.750000,37,6,0.500000,1.000000,0,0.000000,no
41,2,20.500000,2,0,9,0.000000,1,167,53,293,76,1028,41.222222,103,37,1.000000,1.000000,0,0.000000,no
49,1,49.000000,1,3,5,0.000000,1,130,57,211,110,1028,50.200000,45,37,1.000000,1.000000,0,0.000000,no
49,1,49.000000,1,3,5,0.000000,1,130,57,211,110,1028,50.200000,45,37,1.000000,1.000000,0,0.000000,no
60,4,15.000000,4,4,2,0.000000,1,60,60,60,60,1028,68.500000,37,37,1.000000,1.000000,0,0.000000,no
149,12,12.416667,12,7,2,0.000000,1,149,149,149,149,1028,68.500000,37,37,1.000000,1.000000,0,0.000000,yes
67,5,13.400000,5,1,2,0.000000,1,67,67,67,67,1028,68.500000,37,37,1.000000,1.000000,0,0.000000,no
79,7,11.285714,7,11,2,0.000000,1,79,79,79,79,1028,68.500000,37,37,1.000000,1.000000,0,0.000000,no
58,6,9.666667,6,6,3,0.000000,2,60,58,62,58,1028,50.666667,37,28,0.666667,1.000000,0,0.000000,no
48,2,24.000000,2,4,2,0.000000,1,48,48,48,48,1028,68.500000,37,37,1.000000,1.000000,0,0.000000,no
59,4,14.750000,4,5,2,0.000000,1,59,59,59,59,1028,68.500000,37,37,1.000000,1.000000,0,0.000000,no
48,2,24.000000,2,4,2,0.000000,1,48,48,48,48,1028,68.500000,37,37,1.000000,1.000000,0,0.000000,no
48,3,16.000000,3,3,2,0.000000,1,48,48,48,48,1028,68.500000,37,37,1.000000,1.000000,0,0.000000,no
43,3,14.333333,3,2,9,0.000000,1,187,53,331,90,1028,41.222222,103,37,1.000000,1.000000,0,0.000000,no
39,3,13.000000,3,0,10,0.000000,1,131,31,223,59,1028,37.200000,103,37,1.000000,1.000000,0,0.000000,no
95,2,47.500000,4,1,2,0.000000,1,95,95,95,95,1028,68.500000,37,37,1.000000,1.000000,0,0.000000,no
42,0,0.000000,0,0,2,0.000000,1,42,42,42,42,1028,68.500000,37,37,1.000000,1.000000,0,0.000000,no
35,0,0.000000,0,1,9,0.000000,1,138,35,241,64,1028,41.222222,103,37,1.000000,1.000000,0,0.000000,no
58,2,29.000000,3,2,2,0.000000,1,58,58,58,58,1028,68.500000,37,37,1.000000,1.000000,0,0.000000,no
33,0,0.000000,0,0,10,0.000000,1,125,31,217,59,1028,37.200000,103,37,1.000000,1.000000,0,0.000000,no
88,6,14.666667,7,8,7,0.000000,2,191,99,294,185,1028,34.857143,45,14,0.714286,1.000000,0,0.000000,no
139,12,11.583333,12,0,4,0.000000,1,289,139,439,275,1028,50.250000,45,37,1.000000,1.000000,0,0.000000,no
46,0,0.000000,0,3,4,0.000000,1,90,46,134,87,1028,50.250000,45,37,1.000000,1.000000,0,0.000000,no
137,16,8.562500,16,3,5,0.000000,2,274,137,411,270,1028,45.400000,45,31,0.800000,1.000000,0,0.000000,no
62,2,31.000000,2,1,4,0.000000,1,128,62,194,120,1028,50.250000,45,37,1.000000,1.000000,0,0.000000,no
49,1,49.000000,1,2,8,0.000000,1,211,55,373,94,1028,40.125000,103,37,1.000000,1.000000,0,0.000000,no
56,3,18.666667,3,3,5,0.000000,1,113,57,170,109,1028,50.200000,45,37,1.000000,1.000000,0,0.000000,no
46,1,46.000000,1,2,4,0.000000,1,88,46,130,87,1028,50.250000,45,37,1.000000,1.000000,0,0.000000,no
48,1,48.000000,1,2,4,0.000000,1,92,48,136,91,1028,50.250000,45,37,1.000000,1.000000,0,0.000000,no
72,10,7.200000,10,0,4,0.000000,1,144,72,216,141,1028,50.250000,45,37,1.000000,1.000000,0,0.000000,no
24,0,0.000000,0,0,8,0.000000,1,94,30,164,44,1028,40.125000,103,37,1.000000,1.000000,0,0.000000,no
72,10,7.200000,10,0,4,0.000000,1,144,72,216,141,1028,50.250000,45,37,1.000000,1.000000,0,0.000000,no
39,1,39.000000,1,4,8,0.000000,1,159,53,279,75,1028,40.125000,103,37,1.000000,1.000000,0,0.000000,no
185,2,92.500000,2,1,4,0.000000,1,358,185,531,349,1028,50.250000,45,37,1.000000,1.000000,0,0.000000,no
28,0,0.000000,0,0,8,0.000000,1,101,32,174,53,1028,40.125000,103,37,1.000000,1.000000,0,0.000000,no
34,1,34.000000,1,2,8,0.000000,1,127,35,220,64,1028,40.125000,103,37,1.000000,1.000000,0,0.000000,no
153,5,30.600000,9,4,5,0.000000,1,320,157,487,304,1028,42.200000,45,37,1.000000,1.000000,0,0.000000,no
