Dataset,Classifier,FS,Balancing,Precision,Recall,AUC,Kappa
OPENJPA,RandomForest,No,No,0.899366,0.841437,0.983689,0.840061
OPENJPA,NaiveBayes,No,No,0.581439,0.401736,0.807449,0.379000
OPENJPA,Ibk,No,No,0.800527,0.783613,0.874722,0.743853
OPENJPA,RandomForest,No,Yes,0.852981,0.893665,0.983949,0.842176
OPENJPA,NaiveBayes,No,Yes,0.568728,0.419484,0.807482,0.383729
OPENJPA,Ibk,No,Yes,0.800527,0.783613,0.874722,0.743853
OPENJPA,RandomForest,Yes,No,0.889680,0.816625,0.977878,0.818593
OPENJPA,NaiveBayes,Yes,No,0.589137,0.402572,0.805746,0.383159
OPENJPA,Ibk,Yes,No,0.686530,0.673731,0.813653,0.606067
OPENJPA,RandomForest,Yes,Yes,0.829106,0.879432,0.977844,0.817910
OPENJPA,NaiveBayes,Yes,Yes,0.564327,0.436811,0.805742,0.391609
OPENJPA,Ibk,Yes,Yes,0.686506,0.673731,0.813653,0.606051
